Station,Name,Date,Year,Month,Q
4,Sangping,19650101,1965,1,20.09205145
4,Sangping,19650201,1965,2,15.87596524
4,Sangping,19650301,1965,3,17.66330072
4,Sangping,19650401,1965,4,26.0242048
4,Sangping,19650501,1965,5,71.61345027
4,Sangping,19650601,1965,6,99.8319704
4,Sangping,19650701,1965,7,118.1366864
4,Sangping,19650801,1965,8,91.50482502
4,Sangping,19650901,1965,9,104.7269815
4,Sangping,19651001,1965,10,67.50614208
4,Sangping,19651101,1965,11,34.81834549
4,Sangping,19651201,1965,12,24.04181906
4,Sangping,19660101,1966,1,19.7413361
4,Sangping,19660201,1966,2,15.49336666
4,Sangping,19660301,1966,3,17.09878028
4,Sangping,19660401,1966,4,22.12319975
4,Sangping,19660501,1966,5,104.7982499
4,Sangping,19660601,1966,6,121.8876528
4,Sangping,19660701,1966,7,136.5351765
4,Sangping,19660801,1966,8,64.44910447
4,Sangping,19660901,1966,9,60.13924409
4,Sangping,19661001,1966,10,68.35761145
4,Sangping,19661101,1966,11,34.46763013
4,Sangping,19661201,1966,12,23.76424755
4,Sangping,19670101,1967,1,18.22969664
4,Sangping,19670201,1967,2,14.45997542
4,Sangping,19670301,1967,3,16.49299921
4,Sangping,19670401,1967,4,24.59321112
4,Sangping,19670501,1967,5,80.3250697
4,Sangping,19670601,1967,6,101.5949246
4,Sangping,19670701,1967,7,129.1270179
4,Sangping,19670801,1967,8,107.9903223
4,Sangping,19670901,1967,9,143.0431032
4,Sangping,19671001,1967,10,71.76911537
4,Sangping,19671101,1967,11,35.89862381
4,Sangping,19671201,1967,12,25.16898446
4,Sangping,19680101,1968,1,19.58942196
4,Sangping,19680201,1968,2,15.8347046
4,Sangping,19680301,1968,3,15.8909691
4,Sangping,19680401,1968,4,19.19932145
4,Sangping,19680501,1968,5,69.411633
4,Sangping,19680601,1968,6,118.4723979
4,Sangping,19680701,1968,7,118.84937
4,Sangping,19680801,1968,8,83.75907943
4,Sangping,19680901,1968,9,92.89268259
4,Sangping,19681001,1968,10,77.55873199
4,Sangping,19681101,1968,11,37.25084719
4,Sangping,19681201,1968,12,25.77289005
4,Sangping,19690101,1969,1,20.25146753
4,Sangping,19690201,1969,2,15.81782526
4,Sangping,19690301,1969,3,17.38572921
4,Sangping,19690401,1969,4,33.14916545
4,Sangping,19690501,1969,5,107.9340578
4,Sangping,19690601,1969,6,104.8770202
4,Sangping,19690701,1969,7,114.5920231
4,Sangping,19690801,1969,8,63.66140153
4,Sangping,19690901,1969,9,50.82747003
4,Sangping,19691001,1969,10,60.66625487
4,Sangping,19691101,1969,11,31.27368226
4,Sangping,19691201,1969,12,22.23947971
4,Sangping,19700101,1970,1,17.04626675
4,Sangping,19700201,1970,2,13.91796078
4,Sangping,19700301,1970,3,14.86507979
4,Sangping,19700401,1970,4,24.97205872
4,Sangping,19700501,1970,5,64.58038829
4,Sangping,19700601,1970,6,161.8541996
4,Sangping,19700701,1970,7,109.246896
4,Sangping,19700801,1970,8,73.24887161
4,Sangping,19700901,1970,9,103.6973413
4,Sangping,19701001,1970,10,108.2903996
4,Sangping,19701101,1970,11,47.08588106
4,Sangping,19701201,1970,12,29.79017505
4,Sangping,19710101,1971,1,22.18133973
4,Sangping,19710201,1971,2,16.80995587
4,Sangping,19710301,1971,3,18.21656826
4,Sangping,19710401,1971,4,26.15923959
4,Sangping,19710501,1971,5,71.26085943
4,Sangping,19710601,1971,6,135.7474736
4,Sangping,19710701,1971,7,128.6018826
4,Sangping,19710801,1971,8,66.453996
4,Sangping,19710901,1971,9,68.48889527
4,Sangping,19711001,1971,10,59.70038102
4,Sangping,19711101,1971,11,31.99011684
4,Sangping,19711201,1971,12,21.81562051
4,Sangping,19720101,1972,1,17.65017234
4,Sangping,19720201,1972,2,15.2439274
4,Sangping,19720301,1972,3,16.32045475
4,Sangping,19720401,1972,4,22.98779751
4,Sangping,19720501,1972,5,76.06209641
4,Sangping,19720601,1972,6,138.7482467
4,Sangping,19720701,1972,7,105.2896265
4,Sangping,19720801,1972,8,62.79867926
4,Sangping,19720901,1972,9,84.54490689
4,Sangping,19721001,1972,10,73.99531393
4,Sangping,19721101,1972,11,36.54566551
4,Sangping,19721201,1972,12,25.61722494
4,Sangping,19730101,1973,1,19.41312654
4,Sangping,19730201,1973,2,15.49149118
4,Sangping,19730301,1973,3,17.56202463
4,Sangping,19730401,1973,4,27.49270814
4,Sangping,19730501,1973,5,98.86984752
4,Sangping,19730601,1973,6,119.4120149
4,Sangping,19730701,1973,7,125.1509935
4,Sangping,19730801,1973,8,104.4456591
4,Sangping,19730901,1973,9,126.8951929
4,Sangping,19731001,1973,10,80.66453216
4,Sangping,19731101,1973,11,42.81165486
4,Sangping,19731201,1973,12,27.81529125
4,Sangping,19740101,1974,1,20.95102276
4,Sangping,19740201,1974,2,16.56239208
4,Sangping,19740301,1974,3,19.15430986
4,Sangping,19740401,1974,4,36.27184497
4,Sangping,19740501,1974,5,91.61735401
4,Sangping,19740601,1974,6,141.3364135
4,Sangping,19740701,1974,7,118.7743507
4,Sangping,19740801,1974,8,83.83409876
4,Sangping,19740901,1974,9,83.25269897
4,Sangping,19741001,1974,10,96.60613931
4,Sangping,19741101,1974,11,41.49881663
4,Sangping,19741201,1974,12,26.76689614
4,Sangping,19750101,1975,1,19.9082541
4,Sangping,19750201,1975,2,15.74655689
4,Sangping,19750301,1975,3,18.06090316
4,Sangping,19750401,1975,4,32.15140839
4,Sangping,19750501,1975,5,84.27671279
4,Sangping,19750601,1975,6,129.2770565
4,Sangping,19750701,1975,7,141.392678
4,Sangping,19750801,1975,8,86.23846821
4,Sangping,19750901,1975,9,102.3451179
4,Sangping,19751001,1975,10,79.85807439
4,Sangping,19751101,1975,11,42.67286911
4,Sangping,19751201,1975,12,27.9990886
4,Sangping,19760101,1976,1,20.52716356
4,Sangping,19760201,1976,2,16.58489788
4,Sangping,19760301,1976,3,17.86772839
4,Sangping,19760401,1976,4,34.36822953
4,Sangping,19760501,1976,5,107.2776387
4,Sangping,19760601,1976,6,168.062049
4,Sangping,19760701,1976,7,168.5309198
4,Sangping,19760801,1976,8,108.6279866
4,Sangping,19760901,1976,9,65.28556997
4,Sangping,19761001,1976,10,63.76642859
4,Sangping,19761101,1976,11,38.2317249
4,Sangping,19761201,1976,12,28.29541494
4,Sangping,19770101,1977,1,22.13257717
4,Sangping,19770201,1977,2,18.09091089
4,Sangping,19770301,1977,3,20.43526488
4,Sangping,19770401,1977,4,36.34686429
4,Sangping,19770501,1977,5,91.89305004
4,Sangping,19770601,1977,6,152.326745
4,Sangping,19770701,1977,7,118.7743507
4,Sangping,19770801,1977,8,81.01524752
4,Sangping,19770901,1977,9,66.28895348
4,Sangping,19771001,1977,10,57.82114686
4,Sangping,19771101,1977,11,36.17431984
4,Sangping,19771201,1977,12,26.86629675
4,Sangping,19780101,1978,1,21.34112326
4,Sangping,19780201,1978,2,17.16067122
4,Sangping,19780301,1978,3,18.79046612
