"","Year","Month","Q"
"1",1988,1,13.7099285146942
"2",1988,2,11.7197776012709
"3",1988,3,14.6554408260524
"4",1988,4,22.5321683876092
"5",1988,5,55.9034154090548
"6",1988,6,98.59253375695
"7",1988,7,112.279586973789
"8",1988,8,87.4598888006354
"9",1988,9,96.7625099285147
"10",1988,10,76.7046862589357
"11",1988,11,35.1135822081017
"12",1988,12,21.9831612390786
"13",1989,1,16.5464654487689
"14",1989,2,13.023669579031
"15",1989,3,16.0737092930898
"16",1989,4,31.4535345512311
"17",1989,5,78.9502779984114
"18",1989,6,128.330420969023
"19",1989,7,112.279586973789
"20",1989,8,79.0684670373312
"21",1989,9,85.4392374900715
"22",1989,10,71.6225575853852
"23",1989,11,34.5416997617156
"24",1989,12,22.9286735504369
"25",1990,1,16.3100873709293
"26",1990,2,13.023669579031
"27",1990,3,15.8373312152502
"28",1990,4,30.6528991262907
"29",1990,5,64.7675933280381
"30",1990,6,99.164416203336
"31",1990,7,91.3601270849881
"32",1990,8,100.106115965052
"33",1990,9,124.670373312153
"34",1990,10,61.8128673550437
"35",1990,11,39.3455123113582
"36",1990,12,25.0560762509929
"37",1991,1,18.082922954726
"38",1991,2,13.9844320889595
"39",1991,3,17.019221604448
"40",1991,4,25.2772041302621
"41",1991,5,60.1582208101668
"42",1991,6,80.5210484511517
"43",1991,7,69.1405877680699
"44",1991,8,78.122954725973
"45",1991,9,65.9952343129468
"46",1991,10,68.6678316123908
"47",1991,11,34.6560762509929
"48",1991,12,22.1013502779984
"49",1992,1,17.2555996822875
"50",1992,2,13.5993645750596
"51",1992,3,17.019221604448
"52",1992,4,33.054805401112
"53",1992,5,69.1405877680699
"54",1992,6,140.339952343129
"55",1992,7,149.981890389198
"56",1992,8,78.2411437648928
"57",1992,9,70.9134233518666
"58",1992,10,58.5035742652899
"59",1992,11,32.5972994440032
"60",1992,12,21.6285941223193
"61",1993,1,16.1918983320095
"62",1993,2,12.5966640190627
"63",1993,3,13.828117553614
"64",1993,4,26.1922160444797
"65",1993,5,68.9042096902303
"66",1993,6,79.9491660047657
"67",1993,7,105.188244638602
"68",1993,8,106.48832406672
"69",1993,9,80.8641779189833
"70",1993,10,65.5949166004766
"71",1993,11,39.803018268467
"72",1993,12,23.8741858617951
"73",1994,1,17.4919777601271
"74",1994,2,12.3831612390786
"75",1994,3,14.5372517871326
"76",1994,4,32.0254169976172
"77",1994,5,59.6854646544877
"78",1994,6,110.945194598888
"79",1994,7,76.7046862589357
"80",1994,8,46.5664813343924
"81",1994,9,72.4003177124702
"82",1994,10,66.3040508339952
"83",1994,11,32.9404289118348
"84",1994,12,21.0376489277204
"85",1995,1,16.0737092930898
"86",1995,2,11.4223987291501
"87",1995,3,15.8373312152502
"88",1995,4,32.9404289118348
"89",1995,5,102.588085782367
"90",1995,6,102.366957903098
"91",1995,7,91.0055599682288
"92",1995,8,72.0953137410643
"93",1995,9,63.7077045274027
"94",1995,10,53.0668784749802
"95",1995,11,32.0254169976172
"96",1995,12,18.7920571882446
"97",1996,1,12.8826052422558
"98",1996,2,11.2775218427323
"99",1996,3,13.2371723590151
"100",1996,4,19.6727561556791
"101",1996,5,58.5035742652899
"102",1996,6,85.5536139793487
