"BasinID","Area_m2","Latitude","Longitude","Elev_m","Flwlen_m","Lc_1","Lc_2","Lc_3","Lc_4","Lc_5","Lc_6","Lc_7","Lc_8","Lc_9"
1,63089623.3,33.079,103.489,3868.6,17114.5569334,0.019,0,0.548,0.001,0.008,0.404,0.018,0,0.003
2,42977618.9,33.106,103.553,3888.9,13165.568504,0.005,0,0.657,0.002,0.005,0.326,0.001,0,0.005
3,23093814.3,33.05,103.551,3748.3,9035.94949711,0.047,0,0.4,0.005,0.011,0.534,0.002,0,0.001
4,88442615.1,33.078,103.619,3882.6,20679.6180688,0.034,0,0.564,0.004,0.013,0.252,0.085,0,0.048
5,32358723.9,33.011,103.454,3830,10789.5700494,0.046,0,0.338,0,0.003,0.611,0.003,0,0
6,28471721.7,33.008,103.506,3835.9,8687.0848651,0.029,0,0.378,0.001,0.016,0.572,0.005,0,0
7,95288607.4,33.02,103.719,3865.4,18789.7269932,0.047,0,0.49,0.001,0.01,0.245,0.096,0,0.111
8,34382095.1,32.97,103.678,3635.4,10530.4889794,0.058,0,0.427,0.005,0.013,0.425,0.054,0,0.017
9,31050378.9,32.955,103.755,3752.9,10714.2186877,0.089,0,0.303,0.004,0.016,0.451,0.066,0,0.071
10,63074410,32.961,103.806,4038.4,23972.6698844,0.095,0,0.313,0.002,0.007,0.263,0.09,0,0.23
11,8800903.6,32.941,103.705,3421.9,5976.65397874,0.074,0,0.313,0.001,0.025,0.432,0.063,0,0.092
12,105983568.8,33.001,103.397,3831.2,26207.2630077,0.037,0,0.427,0.001,0.004,0.499,0.03,0,0.002
13,27604562.7,32.948,103.425,3732.1,12996.8027227,0.028,0,0.293,0.001,0.001,0.644,0.031,0,0.001
14,36785799.2,32.909,103.758,3809.9,12524.5958172,0.194,0,0.277,0,0.003,0.353,0.085,0,0.088
15,34610294.8,32.9,103.843,4116.3,12222.438395,0.03,0,0.24,0,0,0.138,0.169,0,0.422
16,110441070.8,32.974,103.564,3682.2,22745.4454109,0.098,0,0.291,0.016,0.016,0.526,0.037,0,0.017
17,27163376.6,32.875,103.806,4065.5,10747.2456724,0.032,0,0.22,0,0,0.164,0.2,0,0.384
18,34686361.5,32.932,103.643,3618.4,11489.8667174,0.14,0,0.331,0.004,0.011,0.499,0.009,0,0.006
19,29962626.7,32.896,103.714,3654.2,10344.1918671,0.273,0,0.194,0.005,0.009,0.446,0.03,0,0.044
20,8663983.7,32.9,103.504,3436.1,4650.34855094,0.08,0,0.385,0.044,0.022,0.46,0.001,0,0.008
21,32206591,32.941,103.482,3628.1,13411.7213242,0.031,0,0.434,0.014,0.008,0.506,0.002,0,0.005
22,1635431.5,32.882,103.482,3414.9,2490.57506259,0.128,0,0.321,0.012,0.003,0.536,0,0,0
23,4685701.5,32.896,103.672,3337,3215.66477664,0.294,0,0.19,0.002,0.035,0.325,0.033,0,0.121
24,26668943.7,32.891,103.545,3536.1,12206.190766,0.195,0,0.271,0.037,0.05,0.424,0.002,0,0.022
25,1871238,32.859,103.557,3239.9,2294.98055809,0.199,0,0.126,0.032,0.094,0.4,0,0,0.149
26,35332927.5,32.898,103.587,3588.3,13944.3156645,0.152,0,0.241,0.003,0.019,0.578,0.002,0,0.005
27,37173738.6,32.864,103.064,3657.1,11051.2185234,0.044,0,0.772,0,0.007,0.059,0.118,0,0
28,42384299.6,32.834,103.486,3711.3,14588.387482,0.063,0,0.419,0.015,0.02,0.448,0.027,0,0.008
29,37637744.7,32.816,103.525,3645.6,12437.3796592,0.121,0,0.347,0.037,0.051,0.414,0.023,0,0.007
30,68254544.2,32.838,103.756,3908.6,19533.4114917,0.156,0,0.196,0.002,0.006,0.316,0.111,0,0.213
31,89081574.5,32.858,103.443,3723.3,19701.6455462,0.041,0,0.405,0.004,0.006,0.522,0.021,0,0.002
32,97532571.7,32.807,103.007,3866.7,23169.6614046,0.04,0,0.86,0,0.004,0.058,0.03,0,0.007
33,72286073,32.863,103.644,3413,15418.7564118,0.225,0,0.193,0.004,0.017,0.422,0.027,0,0.112
34,27330722.9,32.811,103.717,3655.6,13688.865452,0.208,0,0.175,0.006,0.008,0.423,0.049,0,0.13
35,67379778.5,32.871,103.382,3582.1,16170.6748491,0.048,0,0.321,0.003,0.003,0.596,0.029,0,0.001
36,34123468.7,32.806,103.093,3765.2,12615.4428327,0.037,0,0.822,0.001,0.013,0.11,0.017,0,0
37,36314186.4,32.848,103.128,3750.9,12389.3887475,0.034,0,0.86,0.001,0.007,0.077,0.022,0,0
38,10413515,32.809,103.653,3178.1,7294.19374104,0.125,0,0.247,0.007,0.005,0.24,0.045,0,0.331
39,44050157.8,32.816,103.572,3469.4,11733.4521337,0.343,0,0.185,0.02,0.032,0.387,0.009,0,0.023
40,39524196,32.777,103.713,3776.7,16777.5570976,0.158,0,0.232,0.008,0.008,0.384,0.092,0,0.119
41,29148714.3,32.757,103.558,3597,10861.8222804,0.259,0,0.314,0.008,0.029,0.376,0.006,0,0.008
42,6077720.1,32.787,103.607,3264.8,5976.65397873,0.221,0,0.227,0.01,0.024,0.417,0.002,0,0.099
43,29947413.3,32.779,103.643,3335.3,9059.67908957,0.173,0,0.214,0.017,0.013,0.376,0.038,0,0.168
44,72050266.6,32.822,103.308,3645.8,19620.095923,0.116,0,0.359,0.009,0.005,0.502,0.008,0,0
45,30883032.5,32.804,103.342,3532.4,12728.9559872,0.086,0,0.283,0.016,0.004,0.601,0.01,0,0
46,28243522,32.792,103.152,3675,14714.8288863,0.014,0,0.663,0.002,0.01,0.295,0.016,0,0.001
47,41821406.9,32.784,103.19,3789.1,12398.154413,0.019,0,0.607,0.001,0.003,0.348,0.021,0,0.001
48,51588356,32.749,103.103,3783.5,12663.4337445,0.053,0,0.655,0.001,0.011,0.258,0.018,0,0.004
49,1787564.7,32.747,103.152,3520.3,2731.0613481,0.046,0,0.448,0.006,0.015,0.484,0,0,0
50,10443941.7,32.722,103.155,3587.3,5185.5102952,0.113,0,0.473,0.003,0.041,0.355,0.001,0,0.014
51,38101751,32.737,103.205,3644.7,16308.9810496,0.058,0,0.49,0.002,0.015,0.422,0.013,0,0
52,100567628,32.771,103.249,3670.6,29059.0992253,0.16,0,0.437,0.004,0.015,0.369,0.014,0,0.001
53,110015097.5,32.731,103.412,3754.6,25669.0021327,0.069,0,0.466,0.005,0.012,0.428,0.019,0,0.002
54,80820743.4,32.733,103.494,3774.8,16588.6925814,0.147,0,0.43,0.007,0.016,0.339,0.052,0,0.01
55,31628485,32.65,103.256,3749.2,12789.343422,0.288,0,0.374,0.003,0.004,0.283,0.042,0,0.006
56,63256969.8,32.726,103.617,3297.8,14278.2163695,0.244,0,0.245,0.026,0.03,0.374,0.008,0,0.072
57,26478777.3,32.695,103.57,3439.8,9065.8773511,0.189,0,0.35,0.055,0.043,0.329,0.011,0,0.023
58,55817657.8,32.725,103.024,3942.5,17243.5657416,0.028,0,0.759,0.002,0.007,0.183,0.019,0,0.002
59,36002313.3,32.662,102.872,4060.4,13863.8294948,0.025,0,0.864,0,0,0.09,0.02,0,0.001
60,29567080.6,32.691,102.951,3990.2,9546.84992208,0.014,0,0.763,0.001,0.001,0.203,0.017,0,0
61,51055890,32.693,103.089,3723.1,14296.2794273,0.109,0,0.541,0,0.034,0.297,0.011,0,0.007
62,23398080.7,32.681,103.162,3577.1,10133.6334356,0.304,0,0.378,0.007,0.037,0.259,0.006,0,0.009
63,56426190.7,32.687,103.296,3544.8,14215.2615308,0.387,0,0.372,0.015,0.027,0.197,0,0,0.002
64,55741591.6,32.72,103.348,3539.6,14263.2524425,0.175,0,0.434,0.026,0.027,0.337,0,0,0.001
