"BasinID","uztwm","uzfwm","uzk","zperc","rexp","lztwm","lzfsm","lzfpm","lzsk","lzpk","pfree"
1,98.9519,98.9519,0.4471,49.9868,2.0255,118.2606,24.9472,89.4007,0.1673,0.0043,0.2135
2,98.3098,98.3098,0.4471,49.9349,2.0255,114.6409,23.8314,82.4741,0.1679,0.004,0.2135
3,98.9096,98.9096,0.4471,49.5762,2.0255,126.6498,26.3886,91.8923,0.1678,0.0045,0.2135
4,98.2777,98.2777,0.4471,50.0527,2.0255,112.7247,23.4812,81.7124,0.1678,0.004,0.2135
5,99.1307,99.1307,0.4471,49.662,2.0255,130.7223,27.8083,101.6753,0.167,0.0048,0.2135
6,96.5158,96.5158,0.4471,49.4063,2.0255,131.2235,27.144,93.3988,0.168,0.0046,0.2135
7,95.1004,95.1004,0.4471,49.396,2.0255,126.696,25.7844,85.1711,0.1686,0.0042,0.2135
8,95.0821,95.0821,0.4471,48.9693,2.0255,144.2702,29.3462,97.3399,0.1685,0.0048,0.2135
9,90.4991,90.4991,0.4471,48.996,2.0255,132.8989,26.2581,81.0528,0.1697,0.0041,0.2135
10,62.5577,60.5526,0.4198,52.7107,2.0807,138.7015,25.7721,68.7397,0.1611,0.0037,0.2287
11,99.4,99.4,0.4471,49.0553,2.0255,145.607,30.9399,112.7252,0.1671,0.0054,0.2135
12,99.4,99.4,0.4471,49.4544,2.0255,134.9701,28.6777,104.4677,0.1671,0.005,0.2135
13,99.4,99.4,0.4471,49.2525,2.0255,141.5391,30.1406,110.3883,0.1669,0.0053,0.2135
14,90.1531,90.1531,0.4471,49.9408,2.0255,108.4089,21.6173,68.3499,0.1691,0.0034,0.2135
15,65.8799,63.4879,0.4112,54.6494,2.0978,129.5215,24.3065,67.0754,0.157,0.0035,0.2335
16,96.4649,96.4649,0.4471,49.4334,2.0255,131.8818,27.3175,94.3648,0.1679,0.0046,0.2135
17,58.624,58.0342,0.4374,50.5055,2.045,133.8497,24.6211,64.5928,0.168,0.0034,0.2189
18,98.1276,98.1276,0.4471,49.4282,2.0255,127.1125,25.9276,85.8307,0.1685,0.0043,0.2135
19,95.3976,95.3976,0.4471,49.3831,2.0255,124.7165,25.3034,82.9167,0.1688,0.0041,0.2135
20,99.4,99.4,0.4471,50.0046,2.0255,122.3934,26.1307,96.2627,0.1668,0.0046,0.2135
21,99.4,99.4,0.4471,49.9096,2.0255,124.5307,26.5551,97.5608,0.1669,0.0046,0.2135
22,99.4,99.4,0.4471,50.4048,2.0255,112.0279,23.9177,88.1102,0.1668,0.0042,0.2135
23,99.4,99.4,0.4471,49.595,2.0255,133.4404,28.4892,104.9512,0.1668,0.005,0.2135
24,99.4,99.4,0.4471,50.4158,2.0255,111.8068,23.8705,87.9363,0.1668,0.0042,0.2135
25,99.4,99.4,0.4471,49.5673,2.0255,134.0028,28.6093,105.3935,0.1668,0.005,0.2135
26,99.4,99.4,0.4471,49.9814,2.0255,111.5063,23.0049,77.9218,0.1681,0.0039,0.2135
